review_id,order_id,product_id,customer_id,rating,review_text,review_date,helpful_count
REV00001,ORD000131,PRD269,CUST0714,3,"Bahan premium, jahitan kuat.",2024-02-16,0
REV00002,ORD001162,PRD105,CUST0586,2,"Bagus banget, packaging juga aman.",2025-01-24,0
REV00003,ORD001172,PRD053,CUST0164,5,"Modelnya keren, fit di badan.",2024-09-18,18
REV00004,ORD002879,PRD265,CUST0179,4,Kualitas oke untuk harga segini.,2024-03-16,0
REV00005,ORD001303,PRD252,CUST0606,3,"Produk sampai dengan cepat, sesuai ekspektasi.",2024-01-26,46
REV00006,ORD002340,PRD028,CUST0465,5,"Mantap, langganan terus dari sini.",2023-12-27,0
REV00007,ORD002140,PRD096,CUST0616,5,"Sesuai deskripsi, akan beli lagi.",2024-01-28,0
REV00008,ORD002124,PRD023,CUST0030,5,Wah ini sih murah meriah tapi berkualitas.,2024-06-03,11
REV00009,ORD002964,PRD181,CUST0479,3,Produknya bagus tapi pengiriman lama.,2023-10-05,0
REV00010,ORD001442,PRD072,CUST0550,3,"Modelnya keren, fit di badan.",2023-11-09,0
REV00011,ORD002046,PRD254,CUST0488,5,,2024-06-17,0
REV00012,ORD001842,PRD019,CUST0480,4,"Pengiriman cepat, packaging rapi.",2025-01-10,6
REV00013,ORD000293,PRD150,CUST0135,5,"Suka banget, repeat order pasti.",2022-04-26,9
REV00014,ORD001301,PRD210,CUST0141,5,"Ukuran agak kekecilan, tapi bahan oke.",2022-06-05,11
REV00015,ORD001293,PRD270,CUST0531,4,"Pengiriman cepat, packaging rapi.",2022-12-23,9
REV00016,ORD000867,PRD259,CUST0270,5,"Bagus banget, packaging juga aman.",2023-07-25,31
REV00017,ORD001287,PRD280,CUST0048,5,"Produk original, terima kasih seller.",2024-10-28,0
REV00018,ORD000965,PRD102,CUST0758,3,"Jahitannya kurang rapi, tapi masih bisa dipake.",2024-10-30,6
REV00019,ORD000890,PRD195,CUST0778,5,"Awalnya ragu, ternyata kualitasnya oke.",2024-04-19,0
REV00020,ORD002400,PRD172,CUST0417,5,"Agak mengecewakan, bahannya panas.",2023-10-11,0
REV00021,ORD002369,PRD196,CUST0259,5,"Suka banget, repeat order pasti.",2024-08-18,3
REV00022,ORD001470,PRD297,CUST0376,5,Warna agak beda dari foto.,2023-01-01,0
REV00023,ORD002158,PRD213,CUST0682,4,,2023-08-19,10
REV00024,ORD000417,PRD013,CUST0527,4,"Produk sampai dengan cepat, sesuai ekspektasi.",2024-03-12,4
REV00025,ORD002694,PRD298,CUST0293,5,"Tidak sesuai ekspektasi, kurang puas.",2023-06-26,0
REV00026,ORD001044,PRD181,CUST0226,5,"Cocok buat hangout, modelnya kekinian.",2023-12-12,10
REV00027,ORD000043,PRD009,CUST0575,4,,2024-04-06,2
REV00028,ORD002050,PRD005,CUST0521,3,"Bahannya enak banget, jahitan rapi. Recommended!",2025-01-18,0
REV00029,ORD000334,PRD001,CUST0148,5,"Kainnya tipis, agak kecewa.",2022-03-17,0
REV00030,ORD002146,PRD026,CUST0354,5,"Modelnya simple, gampang di-mix and match.",2022-12-10,0
REV00031,ORD001633,PRD156,CUST0573,5,Warna agak beda dari foto.,2024-04-14,9
REV00032,ORD001736,PRD219,CUST0160,5,"Bahan premium, jahitan kuat.",2022-12-27,10
REV00033,ORD000016,PRD052,CUST0441,4,"Bagus banget, packaging juga aman.",2024-05-12,3
REV00034,ORD000216,PRD060,CUST0177,5,"Awalnya ragu, ternyata kualitasnya oke.",2024-10-01,0
REV00035,ORD002501,PRD113,CUST0565,3,Kualitas oke untuk harga segini.,2022-04-26,0
REV00036,ORD002750,PRD298,CUST0096,4,"Bagus banget, packaging juga aman.",2024-05-06,6
REV00037,ORD001607,PRD275,CUST0143,5,"Bahannya enak banget, jahitan rapi. Recommended!",2022-03-27,27
REV00038,ORD000825,PRD276,CUST0218,3,"Produk original, terima kasih seller.",2025-03-04,0
REV00039,ORD001079,PRD195,CUST0057,5,"Bahan premium, jahitan kuat.",2023-05-07,0
REV00040,ORD000022,PRD034,CUST0566,3,Worth it dengan harganya.,2024-05-31,30
REV00041,ORD002946,PRD209,CUST0651,1,Worth it dengan harganya.,2023-06-01,2
REV00042,ORD000940,PRD063,CUST0435,5,"Bahan premium, jahitan kuat.",2024-11-19,0
REV00043,ORD001640,PRD239,CUST0027,4,"Produk sampai dengan cepat, sesuai ekspektasi.",2024-05-06,0
REV00044,ORD002518,PRD116,CUST0617,5,Produknya bagus tapi pengiriman lama.,2024-07-10,9
REV00045,ORD002284,PRD289,CUST0352,4,"Jahitannya kurang rapi, tapi masih bisa dipake.",2025-02-09,0
REV00046,ORD001408,PRD016,CUST0219,1,,2024-04-22,23
REV00047,ORD001656,PRD286,CUST0070,2,"Cocok buat hangout, modelnya kekinian.",2023-09-12,10
REV00048,ORD002406,PRD002,CUST0712,2,,2024-10-30,26
REV00049,ORD002343,PRD140,CUST0159,5,,2023-03-03,0
REV00050,ORD000055,PRD212,CUST0442,4,"Awalnya ragu, ternyata kualitasnya oke.",2025-01-27,0
REV00051,ORD002426,PRD131,CUST0636,5,Produknya bagus tapi pengiriman lama.,2023-09-13,3
REV00052,ORD002260,PRD022,CUST0462,3,"Bahan adem, cocok buat sehari-hari.",2023-10-13,39
REV00053,ORD001328,PRD261,CUST0740,5,"Pelayanan seller ramah, fast response.",2024-11-20,0
REV00054,ORD000409,PRD289,CUST0557,5,"Agak mengecewakan, bahannya panas.",2024-01-13,0
REV00055,ORD001918,PRD205,CUST0503,5,"Ukuran pas di badan, warna sesuai foto.",2024-03-03,0
REV00056,ORD002897,PRD090,CUST0280,4,"Cocok buat hangout, modelnya kekinian.",2024-10-06,0
REV00057,ORD001929,PRD039,CUST0636,5,"Bahan adem, cocok buat sehari-hari.",2024-01-05,0
REV00058,ORD000072,PRD209,CUST0379,5,Kualitas oke untuk harga segini.,2024-06-14,5
